Category,Menu Key,Display Name,Purpose,Reason,SuperAdmin,Admin,Faculty,Student,Notes
Core,dashboard,Dashboard,Role-aware landing page with KPIs alerts and shortcuts,Helps every user start daily tasks quickly without navigating multiple menus,View override,View,View,View,Overview only
Core,timetable_admin,Timetable Admin,Create edit publish and retire timetables for departments and offerings,Ensures class scheduling is controlled centrally to avoid clashes and resource conflicts,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Faculty uses teacher timetable
Core,timetable_teacher,Teacher Timetable,Faculty-facing teaching schedule with room time and section context,Allows instructors to plan teaching load and attendance/result activities by slot,View override,View,View,No Access,Teacher-focused view
Core,timetable_student,Student Timetable,Student class schedule by active program semester and enrollment,Reduces missed classes by giving students one trusted daily schedule view,View override,View,No Access,View,Student schedule view
Core,lookups,Lookups,Parent menu for lookup and reference masters used by operations,Groups low-level reference data in one place to keep operational forms consistent,Add Edit View Deactivate override,Add Edit View Deactivate,No Access,No Access,Container menu
Core,buildings,Buildings,Manage building master records for campus infrastructure,Provides standardized location catalog used by timetable rooms and reporting,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Admin master data
Core,rooms,Rooms,Manage room inventory capacity and usage metadata by building,Prevents overbooking and supports timetable allocation quality,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Admin master data
Core,notifications,Notifications,Unified inbox for system academic and workflow notifications,Improves response time by centralizing pending actions and alerts,View override,View,View,View,Inbox and read status
Core,students,Students,Manage student profile lifecycle status and related records,Acts as the core registry for all academic and administrative student operations,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Faculty typically scoped view
Core,departments,Departments,Manage department masters and scoped ownership metadata,Needed to enforce academic boundaries and role-based data scope,Add Edit View Deactivate override,Add Edit View Deactivate,View,No Access,Academic structure
Core,courses,Courses,Create and maintain course catalog and academic attributes,Ensures curriculum consistency across offerings grading and degree audit flows,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View scoped,No Access,Scope and assignment aware
Core,generate_certificates,Generate Certificates,Generate professional Degree Transcript Completion and Report Card documents with institution-type-aware scoring,Supports controlled issuance of official academic documents with audit traceability and GPA/Percentage rules,Add Edit View Deactivate override,Add Edit View Deactivate,View scoped,View own documents,University=GPA School/College=Percentage; Completion requires Class10(School) or Class11+12(College); Degree is University-only
Core,assignments,Assignments,Create publish and review coursework and submissions,Standardizes assessment delivery and tracks submission evidence,Add Edit View Deactivate override,View,Add Edit View Deactivate,View Submit,Student is submission only
Core,attendance,Attendance,Track attendance records trends and warnings,Supports academic compliance and early intervention for low attendance,Add Edit View Deactivate override,View,Add Edit View Deactivate,View,Student is view only
Core,enter_attendance,Enter Attendance,Faculty workflow for manual attendance and CSV import with validation feedback,Speeds bulk attendance operations while retaining strict governance and auditability,Add Edit View Deactivate override,Add Edit View Deactivate,Add Edit View Deactivate,No Access,Managed through Sidebar Settings with role access limited to SuperAdmin Admin and Faculty
